# World Detailed Checksums
# Format: TYPE VNUM CHECKSUM

# Zones
ZONE 1 2ACD1D91
ZONE 2 D8DC7A5D
ZONE 3 AC129964
ZONE 4 51C104C0
ZONE 5 98601094
ZONE 6 D5EC7502
ZONE 7 51EE9163
ZONE 8 33835517
ZONE 9 EC6DF336
ZONE 10 B66C604F
ZONE 11 A9BDA889
ZONE 12 3EC64016
ZONE 13 FCEADB8D
ZONE 14 08220E11
ZONE 15 F88190EC
ZONE 16 3247E964
ZONE 17 E10BC02E
ZONE 18 6507A715
ZONE 19 D3A0224E
ZONE 20 B68BD43D
ZONE 21 6279131E
ZONE 22 96AC64A9
ZONE 23 582EA86E
ZONE 25 6D9AD994
ZONE 26 E2C0C8CE
ZONE 27 C9D65B33
ZONE 28 49CFEE10
ZONE 29 A2A46100
ZONE 30 E74E9E18
ZONE 31 26560E96
ZONE 32 6534474A
ZONE 33 4D3D43E9
ZONE 34 47435691
ZONE 35 D22DDC35
ZONE 36 8D804577
ZONE 37 27E001A0
ZONE 38 F037109E
ZONE 39 A888D748
ZONE 40 2FA532B6
ZONE 41 2D10708D
ZONE 42 EAA0EF36
ZONE 43 8DA9D937
ZONE 44 B5C0A704
ZONE 45 0C39821C
ZONE 46 157883F4
ZONE 47 773F7ADC
ZONE 48 68BAF59F
ZONE 49 3C9AA57F
ZONE 50 F1023F61
ZONE 51 19F7E59E
ZONE 52 1744E391
ZONE 53 81992A38
ZONE 54 E7FAA4E3
ZONE 55 6FE30A0B
ZONE 56 466A94D4
ZONE 57 D43C7A90
ZONE 58 BBDB8146
ZONE 59 548BD9A8
ZONE 60 94DE1743
ZONE 62 BA7B9557
ZONE 63 E1479627
ZONE 64 B22F4952
ZONE 65 87857516
ZONE 66 25A60050
ZONE 67 3258CFF4
ZONE 70 88B4E73B
ZONE 71 A188657B
ZONE 72 15D7D0C2
ZONE 73 8F37770D
ZONE 74 FAEAE6F0
ZONE 76 C633C85B
ZONE 79 BB434BA6
ZONE 80 F04FDB8E
ZONE 81 091B8AAF
ZONE 84 4A34A698
ZONE 85 8FB2AB38
ZONE 86 F5997B4D
ZONE 89 819F455E
ZONE 90 BA42C7C3
ZONE 91 5247DAB6
ZONE 92 C1DF9D1C
ZONE 93 C7DF9FE5
ZONE 94 92ECC776
ZONE 95 F79D7290
ZONE 99 FB1F3BE8
ZONE 100 6E5E46E6
ZONE 101 4BAFFD29
ZONE 102 48FAB365
ZONE 103 428D3C39
ZONE 104 13C40906
ZONE 105 176BBDFA
ZONE 106 58DF0C76
ZONE 107 0BC574F5
ZONE 110 B070FEE4
ZONE 111 1DD608ED
ZONE 112 2BC08AD0
ZONE 114 AF890719
ZONE 115 129C187B
ZONE 116 49C07D64
ZONE 117 376895AB
ZONE 118 84C90667
ZONE 119 A284F70B
ZONE 120 22E2A9C9
ZONE 121 89F1706A
ZONE 122 1C5D183E
ZONE 123 BFF3FB3F
ZONE 124 56E9C6D0
ZONE 125 A1A25AAF
ZONE 126 5DEBFCD5
ZONE 127 33DB4CD3
ZONE 128 B09B49F2
ZONE 129 C419BEE4
ZONE 130 BDD769FC
ZONE 131 A77B026B
ZONE 132 C104B403
ZONE 133 7E7425CE
ZONE 134 7A93D894
ZONE 135 EB820B84
ZONE 136 FAEE4A95
ZONE 137 D4C3FAA5
ZONE 138 09E77355
ZONE 139 DC449148
ZONE 140 BA8D3676
ZONE 141 3F193EA7
ZONE 142 F414DFDA
ZONE 143 6F3A1A4D
ZONE 144 4D2BFB79
ZONE 145 6AC06A84
ZONE 146 0298C26C
ZONE 147 71E00BC2
ZONE 148 DF647A9B
ZONE 149 86BD8913
ZONE 150 2A07805C
ZONE 151 1BD66D33
ZONE 152 73BFDBD6
ZONE 153 22B17BB0
ZONE 155 6604AFAA
ZONE 156 420E3AD9
ZONE 157 A99BF3D9
ZONE 158 589D5A27
ZONE 159 E4AC96A5
ZONE 160 FCA12C7B
ZONE 161 E2FB85B2
ZONE 170 7CD1F696
ZONE 182 D0CBD743
ZONE 200 D9B5B054
ZONE 201 15E8DD26
ZONE 202 FF83934B
ZONE 203 27415054
ZONE 204 53BC371A
ZONE 205 F0FC5679
ZONE 206 C0D3FECB
ZONE 209 6702C035
ZONE 210 4049BC00
ZONE 211 C8C06CEE
ZONE 212 28F0F6AC
ZONE 213 88F14EB0
ZONE 220 8A0DBFDC
ZONE 226 442B4457
ZONE 229 5ED2882F
ZONE 230 93010997
ZONE 231 831BBCEF
ZONE 232 C280ECAC
ZONE 235 87EFDEB4
ZONE 236 25EA8C8D
ZONE 237 528CE9BD
ZONE 240 EC71FDCE
ZONE 241 FF48D034
ZONE 242 65C78ED9
ZONE 248 45FB93B0
ZONE 250 0068D34B
ZONE 251 AF4AA48F
ZONE 253 92439278
ZONE 254 CED4A74B
ZONE 255 F35AC907
ZONE 256 1E0F02A3
ZONE 257 25201B37
ZONE 258 C827702B
ZONE 260 3E066CDD
ZONE 265 9984145D
ZONE 266 B48F6BA7
ZONE 267 04B0B8E9
ZONE 268 CB2031C7
ZONE 269 95829417
ZONE 270 AFDA602F
ZONE 271 2D7CCCD6
ZONE 272 1E03EE5A
ZONE 274 057404E4
ZONE 276 5315BA3E
ZONE 277 B4CC3B46
ZONE 278 94486C7C
ZONE 279 955FC8E7
ZONE 280 430438EC
ZONE 281 5BD722EC
ZONE 282 CBDDDF78
ZONE 283 466F8EEA
ZONE 284 14C82B43
ZONE 285 3FA0DC39
ZONE 286 82CA61B0
ZONE 287 37A4BCBB
ZONE 288 99C3ECE2
ZONE 289 24595A6E
ZONE 290 AB238284
ZONE 291 AFCE707D
ZONE 292 0AA866ED
ZONE 293 5C2CE132
ZONE 295 6023483B
ZONE 296 A4DC33DA
ZONE 302 67D8B825
ZONE 303 6AA75BA2
ZONE 304 33555416
ZONE 305 1B188D94
ZONE 306 B62D7285
ZONE 307 56027F94
ZONE 308 7A5A6D99
ZONE 309 A700BBFD
ZONE 312 A9911A19
ZONE 318 20907A3E
ZONE 321 0D50E7DF
ZONE 323 4FE0ED2F
ZONE 324 B27E7939
ZONE 325 95004A09
ZONE 326 B517BFB9
ZONE 327 3FC8F036
ZONE 328 CE31AC17
ZONE 329 DC19A73B
ZONE 330 F605CEF6
ZONE 331 66D1245F
ZONE 332 EA03A921
ZONE 333 E9733D71
ZONE 334 92753AA3
ZONE 335 74BDB7A9
ZONE 336 ECFF7B15
ZONE 338 23B41A95
ZONE 339 C5D11749
ZONE 340 15CF66E8
ZONE 342 68D2134C
ZONE 343 60EC018E
ZONE 344 418C81CF
ZONE 346 2CB057EF
ZONE 348 B6275591
ZONE 350 F0EE373A
ZONE 351 82316A4A
ZONE 352 336A7086
ZONE 353 70A42515
ZONE 354 7B36421F
ZONE 355 F55DA709
ZONE 356 6A9DAB43
ZONE 357 EC4A4B68
ZONE 358 BB0892AA
ZONE 359 828FE52C
ZONE 360 9E713C4A
ZONE 361 19ABEFB2
ZONE 377 37384AC6
ZONE 378 A22607C3
ZONE 379 29AB162E
ZONE 380 B06BB828
ZONE 381 7C0FC8BA
ZONE 382 3683B828
ZONE 383 8CA9D6E2
ZONE 384 7FA7760A
ZONE 385 AAF0C633
ZONE 388 DA92A129
ZONE 389 4BFF839B
ZONE 400 93D800B2
ZONE 401 82451818
ZONE 402 203FA60F
ZONE 403 D57E52E5
ZONE 404 FEF7BE67
ZONE 405 06EE347A
ZONE 406 2227BBDA
ZONE 421 7ED6F43D
ZONE 422 4B628411
ZONE 427 ED0546A8
ZONE 429 37A9F853
ZONE 430 88918918
ZONE 461 0926AA7E
ZONE 471 E849D081
ZONE 475 7DF520AC
ZONE 476 EF3F94FB
ZONE 477 FC6F1DBA
ZONE 479 84764D13
